0041F649	mahanakorn university of technology
004658F4	xiangtan university
00784876	university of glasgow
0086CB8F	university of leon
0088BF3F	national autonomous university of mexico
01038E08	telecom lille 1
013CF852	washington university school of medicine
01682BF6	institute of robotics and intelligent systems
01739E09	university of buenos aires
01AB8D36	national institute for higher education
01C4E3DD	morgridge institute for research
01CA26E6	manchester business school
0261D2D8	kettering university
027B5DD3	association of research libraries
028E8644	nicta
03496C27	university of turin
0349EE07	university of california
03512020	instituto superior de engenharia de lisboa
03F01FBB	genome institute of singapore
03F22377	naresuan university
04505D6E	osaka institute of technology
0478D4F8	university of tennessee
04FB543C	szechenyi istvan university
050F3ADA	newcastle university
0567A330	university of colombo
056A2A0B	university of franche comte
0584A892	walter sisulu university
05A55A03	university of jyvaskyla
05BF2DCA	university of defence
05C31D4B	technical university of denmark
05C33764	chuo university
05F108EF	university of minho
0644CC82	oxford internet institute
06581C77	gradiant galician research and development center in advanced telecommunications
070DED1B	depaul university
0717DEEE	silesian university of technology
07464868	rungta college of engineering and technology
081C015C	robert h smith school of business
08B11977	ipca laboratories ltd
08FC2C82	waseda university
0941E72A	west pomeranian university of technology
09995E41	university of freiburg
09CC60BD	fordham university
09D3665E	metaio gmbh
0A0D2BAD	university of calgary
0A17D934	university of north carolina at greensboro
0A546C41	university of granada
0A8F91A9	durban university of technology
0ABDAF90	yokohama national university
0BADCAD2	glasgow caledonian university
0BF79DFE	national and kapodistrian university of athens
0C00E2F0	national university of computer and emerging sciences
0C309CF2	university of macau
0C37CBAD	harbin institute of technology
0C3C3D64	trinity college
0C546475	institute of photogrammetry and geoinformation
0EE90B37	kessler foundation
12A75ED7	national university of science and technology
33B055BF	american megatrends
344DAF2B	abertay university
359DD561	international data corporation
4C462F03	artificial intelligence center
4D54C8C1	st john s hospital
4D5D795C	international computer science institute
4D9E5365	asia university
4E2EC568	amazon com
4EBD15F2	association for computing machinery
4EEE5722	rehabilitation institute of chicago
005B8048	de la salle university
00E50760	fuji xerox
0154426A	kyoto university
01B75705	university of rochester medical center
01D61EC6	shanghaitech university
01E0D8CE	technische universitat darmstadt
022A907E	concurrent technologies corporation
025F5CB1	pierre and marie curie university
029B7705	state university of new york at oswego
02DEFE53	south university
030EB925	sri venkateswara college of engineering
03959311	nagoya university
03DAAF69	ensenada center for scientific research and higher education
03FCE859	university of yamanashi
043B0D41	london school of hygiene tropical medicine
05058734	harvard graduate school of design
05354600	state university of new york college of optometry
0537DD0E	southern illinois university edwardsville
056408C5	salzburg research
057FA477	university of split
05C28CB2	meijo university
05C86094	stanford university
05EF3060	tsukuba international university
05F47C53	yuan ze university
061CAA26	australian artificial intelligence institute
